keyword,avg_monthly_searches,competition,low_top_of_page_bid,high_top_of_page_bid
ai marketing agent,1290,HIGH,0.5,2.0
best ai marketing agent,1356,MEDIUM,0.9,3.2
how to use ai marketing agent,1206,LOW,1.3,4.4
autonomous agent,903,HIGH,1.7,5.6
ai content automation,904,MEDIUM,2.1,6.8
seo keyword research,753,LOW,2.5,8.0
topic clustering tips,516,HIGH,2.9,9.2
autonomous marketing agent,1507,HIGH,0.5,2.0
best autonomous marketing agent,1356,MEDIUM,0.9,3.2
how to use autonomous marketing agent,1032,LOW,1.3,4.4
autonomous agent,1055,HIGH,1.7,5.6
ai content automation,904,MEDIUM,2.1,6.8
seo keyword research,645,LOW,2.5,8.0
topic clustering tips,603,HIGH,2.9,9.2
ai agent for marketing,1507,HIGH,0.5,2.0
best ai agent for marketing,1161,MEDIUM,0.9,3.2
how to use ai agent for marketing,1206,LOW,1.3,4.4
autonomous agent,1055,HIGH,1.7,5.6
ai content automation,774,MEDIUM,2.1,6.8
seo keyword research,753,LOW,2.5,8.0
topic clustering tips,603,HIGH,2.9,9.2
ai marketing automation,1290,HIGH,0.5,2.0
best ai marketing automation,1356,MEDIUM,0.9,3.2
how to use ai marketing automation,1206,LOW,1.3,4.4
autonomous agent,903,HIGH,1.7,5.6
ai content automation,904,MEDIUM,2.1,6.8
seo keyword research,753,LOW,2.5,8.0
topic clustering tips,516,HIGH,2.9,9.2
ai campaign generator,1507,HIGH,0.5,2.0
best ai campaign generator,1356,MEDIUM,0.9,3.2
how to use ai campaign generator,1032,LOW,1.3,4.4
autonomous agent,1055,HIGH,1.7,5.6
ai content automation,904,MEDIUM,2.1,6.8
seo keyword research,645,LOW,2.5,8.0
topic clustering tips,603,HIGH,2.9,9.2
ai content automation,1507,HIGH,0.5,2.0
best ai content automation,1161,MEDIUM,0.9,3.2
how to use ai content automation,1206,LOW,1.3,4.4
autonomous agent,1055,HIGH,1.7,5.6
ai content automation,774,MEDIUM,2.1,6.8
seo keyword research,753,LOW,2.5,8.0
topic clustering tips,603,HIGH,2.9,9.2
ai marketing strategy generator,1290,HIGH,0.5,2.0
best ai marketing strategy generator,1356,MEDIUM,0.9,3.2
how to use ai marketing strategy generator,1206,LOW,1.3,4.4
autonomous agent,903,HIGH,1.7,5.6
ai content automation,904,MEDIUM,2.1,6.8
seo keyword research,753,LOW,2.5,8.0
topic clustering tips,516,HIGH,2.9,9.2
ai marketing assistant,1507,HIGH,0.5,2.0
best ai marketing assistant,1356,MEDIUM,0.9,3.2
how to use ai marketing assistant,1032,LOW,1.3,4.4
autonomous agent,1055,HIGH,1.7,5.6
ai content automation,904,MEDIUM,2.1,6.8
seo keyword research,645,LOW,2.5,8.0
topic clustering tips,603,HIGH,2.9,9.2
ai tools for startups,1507,HIGH,0.5,2.0
best ai tools for startups,1161,MEDIUM,0.9,3.2
how to use ai tools for startups,1206,LOW,1.3,4.4
autonomous agent,1055,HIGH,1.7,5.6
ai content automation,774,MEDIUM,2.1,6.8
seo keyword research,753,LOW,2.5,8.0
topic clustering tips,603,HIGH,2.9,9.2
marketing automation for startups,1290,HIGH,0.5,2.0
best marketing automation for startups,1356,MEDIUM,0.9,3.2
how to use marketing automation for startups,1206,LOW,1.3,4.4
autonomous agent,903,HIGH,1.7,5.6
ai content automation,904,MEDIUM,2.1,6.8
seo keyword research,753,LOW,2.5,8.0
topic clustering tips,516,HIGH,2.9,9.2
jasper alternative,1507,HIGH,0.5,2.0
best jasper alternative,1356,MEDIUM,0.9,3.2
how to use jasper alternative,1032,LOW,1.3,4.4
autonomous agent,1055,HIGH,1.7,5.6
ai content automation,904,MEDIUM,2.1,6.8
seo keyword research,645,LOW,2.5,8.0
topic clustering tips,603,HIGH,2.9,9.2
copy.ai alternative,1507,HIGH,0.5,2.0
best copy.ai alternative,1161,MEDIUM,0.9,3.2
how to use copy.ai alternative,1206,LOW,1.3,4.4
autonomous agent,1055,HIGH,1.7,5.6
ai content automation,774,MEDIUM,2.1,6.8
seo keyword research,753,LOW,2.5,8.0
topic clustering tips,603,HIGH,2.9,9.2
chatgpt for marketing,1290,HIGH,0.5,2.0
best chatgpt for marketing,1356,MEDIUM,0.9,3.2
how to use chatgpt for marketing,1206,LOW,1.3,4.4
autonomous agent,903,HIGH,1.7,5.6
ai content automation,904,MEDIUM,2.1,6.8
seo keyword research,753,LOW,2.5,8.0
topic clustering tips,516,HIGH,2.9,9.2
ai content planner,1507,HIGH,0.5,2.0
best ai content planner,1356,MEDIUM,0.9,3.2
how to use ai content planner,1032,LOW,1.3,4.4
autonomous agent,1055,HIGH,1.7,5.6
ai content automation,904,MEDIUM,2.1,6.8
seo keyword research,645,LOW,2.5,8.0
topic clustering tips,603,HIGH,2.9,9.2
ai go to market strategy,1507,HIGH,0.5,2.0
best ai go to market strategy,1161,MEDIUM,0.9,3.2
how to use ai go to market strategy,1206,LOW,1.3,4.4
autonomous agent,1055,HIGH,1.7,5.6
ai content automation,774,MEDIUM,2.1,6.8
seo keyword research,753,LOW,2.5,8.0
topic clustering tips,603,HIGH,2.9,9.2
